indic_bt,nace_r2,unit,geo\time	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 	2018Q3 	2018Q4 	2019Q1 	2019Q2 	2019Q3 	2019Q4 	2020Q1 
TOVT,G-N_STS_X_G47,PCH_Q4_CA,DE	7.5 ps	7.8 ps	7.1 ps	3.9 ps	4.4 ps	4.1 ps	3.8 ps	4.5 ps	2.8 ps	2.2 ps	1.4 ps	: 
TOVT,G-N_STS_X_G47,PCH_Q4_CA,DK	7.3 ps	6.9 ps	5.8 ps	2.6 ps	5.1 ps	5.2 ps	4.9 ps	5.2 ps	2.8 ps	3.2 ps	4.4 ps	0.1 ps
TOVT,G-N_STS_X_G47,PCH_Q4_CA,EA19	6.6 	6.6 	6.5 	4.6 	5.4 	5.1 	4.4 	4.3 	3.6 	3.4 	2.5 	: 
TOVT,G-N_STS_X_G47,PCH_Q4_CA,EE	10.7 s	10.4 s	14.6 s	9.0 s	11.3 s	15.4 s	15.0 s	7.8 s	8.9 s	6.6 s	2.3 s	: 
TOVT,G-N_STS_X_G47,PCH_Q4_CA,EL	2.2 s	4.9 s	4.3 s	3.8 s	6.9 s	10.3 s	2.9 s	-1.0 s	1.9 s	1.8 s	2.0 ps	: 
TOVT,G-N_STS_X_G47,PCH_Q4_CA,ES	8.2 p	6.4 p	7.1 p	7.2 p	6.6 p	7.9 p	4.9 p	5.6 p	5.6 p	2.8 p	3.4 p	-5.8 p
TOVT,G-N_STS_X_G47,PCH_Q4_CA,EU27_2020	6.8 	6.9 	6.8 	4.7 	5.9 	5.6 	4.8 	4.8 	3.9 	3.7 	2.9 	: 
TOVT,G-N_STS_X_G47,PCH_Q4_CA,EU28	6.7 	6.4 	5.5 	4.5 	6.4 	6.3 	5.4 	5.3 	3.9 	3.5 	2.3 	: 
TOVT,G-N_STS_X_G47,PCH_Q4_CA,FI	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
TOVT,G-N_STS_X_G47,PCH_Q4_CA,FR	5.3 	6.5 	6.6 	4.8 	6.4 	4.8 	5.0 	4.9 	4.7 	4.9 	3.8 	: 
TOVT,G-N_STS_X_G47,PCH_Q4_CA,HR	4.1 	4.2 	3.0 	5.4 	6.5 	6.0 	6.2 	6.5 	5.1 	5.6 	5.5 	: 
TOVT,G-N_STS_X_G47,PCH_Q4_CA,HU	12.3 s	12.9 s	12.2 s	11.8 s	14.2 s	15.0 s	11.3 s	16.0 s	13.2 s	14.0 s	15.8 s	7.4 s
TOVT,G-N_STS_X_G47,PCH_Q4_CA,IE	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
TOVT,G-N_STS_X_G47,PCH_Q4_CA,IT	3.4 	2.8 	3.8 	2.5 	2.5 	1.3 	0.9 	0.0 	0.3 	1.3 	0.2 	-7.0 
TOVT,G-N_STS_X_G47,PCH_Q4_CA,LT	14.2 s	11.3 s	14.7 s	11.4 s	12.1 s	12.7 s	11.1 s	11.7 s	9.0 s	10.0 s	8.3 s	: 
TOVT,G-N_STS_X_G47,PCH_Q4_CA,LU	12.9 s	11.7 s	3.6 s	6.1 s	2.2 s	6.7 s	8.7 s	8.8 s	15.0 s	2.1 s	-3.5 ps	-7.9 ps
TOVT,G-N_STS_X_G47,PCH_Q4_CA,LV	11.3 	8.4 	12.7 	0.2 	5.8 	6.1 	6.6 	9.8 	5.4 	5.1 	-3.3 	: 
TOVT,G-N_STS_X_G47,PCH_Q4_CA,MT	13.4 s	7.5 s	12.7 ps	6.5 ps	6.0 ps	9.6 ps	1.6 ps	3.4 ps	-1.6 ps	1.5 ps	2.4 ps	: 
TOVT,G-N_STS_X_G47,PCH_Q4_CA,NL	: c	: c	: c	: c	: c	5.7 ps	5.1 ps	3.8 ps	2.8 ps	3.4 ps	2.2 ps	: 
TOVT,G-N_STS_X_G47,PCH_Q4_CA,PL	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: 
TOVT,G-N_STS_X_G47,PCH_Q4_CA,PT	: c	: c	: c	: c	: c	: c	: c	4.9 	2.0 	1.9 	2.3 	-4.6 
TOVT,G-N_STS_X_G47,PCH_Q4_CA,RO	10.9 s	10.3 s	11.5 s	7.7 ps	11.3 s	8.4 s	9.9 ps	12.5 ps	8.1 s	5.7 s	6.4 ps	10.5 ps
TOVT,G-N_STS_X_G47,PCH_Q4_CA,SE	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
TOVT,G-N_STS_X_G47,PCH_Q4_CA,SI	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
TOVT,G-N_STS_X_G47,PCH_Q4_CA,SK	4.5 	6.0 	7.2 	7.7 	8.2 	8.7 	8.5 	8.1 	4.1 	2.2 	2.2 	1.5 
TOVT,G-N_STS_X_G47,PCH_Q4_CA,TR	24.5 	33.5 	27.6 	21.4 	23.6 	29.4 	15.0 	17.1 	17.4 	11.9 	22.5 	20.1 
TOVT,G-N_STS_X_G47,PCH_Q4_CA,UK	5.5 	4.5 	0.5 	3.6 	8.7 	9.0 	7.6 	7.5 	4.1 	2.7 	-0.1 	-4.2 
